make,model,component,times,first_seen,last_seen,campaigns
FORD,F-150,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,20V575000,22V252000,"20V575000; 22V252000"
FORD,F-150,"STRUCTURE:FRAME AND MEMBERS:UNDERBODY SHIELDS",2,21V986000,22V623000,"21V986000; 22V623000"
FORD,F-150,"VISIBILITY:WINDSHIELD WIPER/WASHER:MOTOR",2,22V142000,22V842000,"22V142000; 22V842000"
FORD,F-150,"ELECTRICAL SYSTEM: INTEGRATED TRAILER BRAKE CONTROL",2,22V193000,25V132000,"22V193000; 25V132000"
FORD,F-150,"VISIBILITY:WINDSHIELD WIPER/WASHER:LINKAGES",2,22V250000,23V163000,"22V250000; 23V163000"
FORD,F-150,STEERING:COLUMN,2,22V253000,24V329000,"22V253000; 24V329000"
FORD,F-150,"POWER TRAIN:AXLE HUBS",2,23V896000,25V512000,"23V896000; 25V512000"
FORD,F-150,"ENGINE AND ENGINE COOLING:ENGINE:HARD PARTS INTERNAL/MECHANICAL",2,24V635000,25V344000,"24V635000; 25V344000"
FORD,F-150,EQUIPMENT:OTHER:LABELS,2,24V852000,25V271000,"24V852000; 25V271000"
FORD,F-150,"ENGINE AND ENGINE COOLING:ENGINE:OIL/LUBRICATION",2,24V851000,25V198000,"24V851000; 25V198000"
FORD,F-150,"BACK OVER PREVENTION:SOFTWARE",2,25V315000,25V442000,"25V315000; 25V442000"
FORD,F-150,STEERING,2,25V022000,25V309000,"25V022000; 25V309000"
FORD,FIESTA,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,24V951000,25V695000,"24V951000; 25V695000"
FORD,FOCUS,"EQUIPMENT:ELECTRICAL:ENGINE BLOCK HEATER",2,26V011000,26V012000,"26V011000; 26V012000"
FORD,MUSTANG,"POWER TRAIN:AUTOMATIC TRANSMISSION",2,18V213000,23V070000,"18V213000; 23V070000"
FORD,MUSTANG,"SERVICE BRAKES, HYDRAULIC:PEDALS AND LINKAGES",2,20V573000,23V800000,"20V573000; 23V800000"
FORD,MUSTANG,"FORWARD COLLISION AVOIDANCE: SENSING SYSTEM: CAMERA",2,20V306000,22V334000,"20V306000; 22V334000"
FORD,MUSTANG,"ELECTRICAL SYSTEM:BODY CONTROL MODULE/BCM",2,23V727000,25V689000,"23V727000; 25V689000"
FORD,MUSTANG,"STEERING:ELECTRIC POWER ASSIST SYSTEM",2,24V493000,25V096000,"24V493000; 25V096000"
FORD,MUSTANG,"BACK OVER PREVENTION:SOFTWARE",2,25V315000,25V442000,"25V315000; 25V442000"
FORD,RANGER,"VISIBILITY:DEFROSTER/DEFOGGER/HVAC SYSTEM:FAN/MOTOR",2,19V726000,20V137000,"19V726000; 20V137000"
FORD,RANGER,"EXTERIOR LIGHTING:TAIL LIGHTS",2,19V839000,26V104000,"19V839000; 26V104000"
FORD,RANGER,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,20V575000,25V572000,"20V575000; 25V572000"
FORD,RANGER,"FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS",2,22V685000,24V848000,"22V685000; 24V848000"
FORD,RANGER,VISIBILITY:WINDSHIELD,2,22V451000,25V683000,"22V451000; 25V683000"
FORD,RANGER,"VISIBILITY:POWER WINDOW DEVICES AND CONTROLS",2,24V597000,25V237000,"24V597000; 25V237000"
FORD,RANGER,"SUSPENSION:FRONT:CONTROL ARM:UPPER BALL JOINT",2,24V770000,25V310000,"24V770000; 25V310000"
