mfg,raw,spellings,slug,recalls,units,median,p90,worst,same_day,over_30,over_90,early,rank
"Eldorado National- California","Eldorado National- California, Inc.",2,eldorado-national-california,26,5679,27,61,146,0,12,1,0,113
"Forest River Bus","Forest River Bus, LLC",1,forest-river-bus,21,12897,27,38,64,1,9,0,0,114
"Triumph Motorcycles America","Triumph Motorcycles America, LTD",3,triumph-motorcycles-america,54,111045,26,40,59,0,18,0,1,115
Jayco,"Jayco, Inc.",2,jayco,222,552582,25,56,284,1,86,6,5,116
"Grand Design RV","Grand Design RV, LLC",1,grand-design-rv,57,291216,24,45,109,0,15,1,0,117
"Polaris Industries","Polaris Industries, Inc.",3,polaris-industries,29,205946,24,72,267,0,12,3,0,118
"New Flyer of America","New Flyer of America, Inc.",3,new-flyer-of-america,28,25046,24,55,186,0,13,1,0,119
"TRANS TECH BUS","TRANS TECH BUS",2,trans-tech-bus,16,1829,24,46,57,1,5,0,0,120
"Forest River","Forest River, Inc.",2,forest-river,598,914775,23,48,509,9,166,16,9,121
Foretravel,"Foretravel, Inc.",2,foretravel,18,1116,22,36,49,2,7,0,1,122
Sutphen,"Sutphen Corporation",2,sutphen,15,1390,22,126,226,2,5,2,4,123
"Keystone RV","Keystone RV Company",2,keystone-rv,197,1610911,21,49,222,1,58,3,2,124
Meritor,"Meritor, Inc.",2,meritor,35,33892,21,45,75,3,12,0,1,125
"Shyft Group","Shyft Group",1,shyft-group,44,40627,19,80,354,2,20,3,0,126
"Zero Motorcycles","Zero Motorcycles Inc.",2,zero-motorcycles,23,4753,19,35,48,0,4,0,0,127
"Coach and Equipment Mfg","Coach and Equipment Mfg Corp.",3,coach-and-equipment-mfg,21,13418,18,51,108,0,7,2,1,128
"Triple E Recreational Vehicles","Triple E Recreational Vehicles",2,triple-e-recreational-vehicles,53,14033,17.5,37,99,1,12,1,1,129
"Piaggio Group Americas","Piaggio Group Americas. Inc.",2,piaggio-group-americas,19,18202,17,31,49,0,3,0,0,130
"Trail King Industries","Trail King Industries, Inc.",1,trail-king-industries,16,7690,17,40,42,0,4,0,0,131
"Harley-Davidson Motor","Harley-Davidson Motor Company",2,harley-davidson-motor,56,1888750,16.5,32,127,1,7,3,0,132
"ARBOC Specialty Vehicles","ARBOC Specialty Vehicles, LLC",1,arboc-specialty-vehicles,16,1750,16.5,60,99,1,4,1,0,133
"New Flyer Industries","New Flyer Industries Ltd.",2,new-flyer-industries,27,23764,15.5,38,379,1,4,1,1,134
"Yamaha Motor Corporation, USA","Yamaha Motor Corporation, USA",2,yamaha-motor-corporation-usa,55,346183,15,26,56,0,4,0,0,135
"DUTCHMEN MANUFACTURING","DUTCHMEN MANUFACTURING, INC.",2,dutchmen-manufacturing,23,9118,15,24,129,0,2,1,0,136
"Kawasaki Motors Corp., U.S.A","Kawasaki Motors Corp., U.S.A.",2,kawasaki-motors-corp-u-s-a,49,174387,13.5,26,99,0,3,1,3,137
"Cooper Tire & Rubber Co","Cooper Tire & Rubber Co.",2,cooper-tire-rubber-co,15,542943,11,25,36,0,1,0,0,138
"Bombardier Recreational Products","Bombardier Recreational Products, Inc.",3,bombardier-recreational-products,25,223017,9,78,128,1,5,2,0,139
"Marion Body Works","Marion Body Works Inc.",1,marion-body-works,19,355,8,22,59,0,1,0,2,140
Takata,"Takata Corporation",2,takata,19,63181996,0,0,4,13,0,0,4,141
