reference,launched,make,models,concern,vehicles,rewrites_caught,page
R/2026/266,2026-06-24,Kawasaki,"Meguro S1 and W230","Replacement of the turn signal bulbs",50,0,https://carsmultiverse.com/uk-recall/r-2026-266/
R/2026/053,2026-06-24,"Daimler Buses Gmbh","Setra S531DT, Tourismo, Tourismo L and 2 more","Emergency Valve may malfunction",63,0,https://carsmultiverse.com/uk-recall/r-2026-053/
R/2026/254,2026-06-23,Ford,"Transit Custom and Tourneo Custom","26C30 – Transit and Tourneo Custom – Door Module lost communication",6538,0,https://carsmultiverse.com/uk-recall/r-2026-254/
R/2026/201,2026-06-23,Mercedes-Benz,E-Class,"Coolant pump control software",1,0,https://carsmultiverse.com/uk-recall/r-2026-201/
R/2026/264,2026-06-22,Auto-Sleepers,"KB635 Active","ISOFIX connection system for rear seats of motorhomes and camper vans",29,0,https://carsmultiverse.com/uk-recall/r-2026-264/
R/2026/123,2026-06-22,Ford,Ranger,"26S19 Ranger PHEV - High Voltage Battery Tray Retaining Bracket Replacement",1,0,https://carsmultiverse.com/uk-recall/r-2026-123/
R/2026/245,2026-06-19,"Land Rover","Defender, Discovery and Range Rover","Driver’s Airbag Potential Non-Deployment",151632,0,https://carsmultiverse.com/uk-recall/r-2026-245/
R/2026/221,2026-06-19,Mercedes-Benz,GLE,"SRPC2607 – Rear Seat Belt Bolting",21,0,https://carsmultiverse.com/uk-recall/r-2026-221/
R/2026/217,2026-06-18,Kia,EV5,"Kia EV5 Rear Seat Bolts",4818,0,https://carsmultiverse.com/uk-recall/r-2026-217/
R/2026/219,2026-06-16,Kia,PV5,"PV5 Front Shock Absorber Lower Bracket Welding - Safety Recall",465,0,https://carsmultiverse.com/uk-recall/r-2026-219/
R/2026/243,2026-06-15,"Knaus Tabbert Ag","Knaus Boxtime, Knaus Tourer, Knaus Live I and 10 more","Consumer safety warning and product recall: Motorhomes – potential defect in the ISOFIX child restraint anchorage system",170,0,https://carsmultiverse.com/uk-recall/r-2026-243/
R/2026/242,2026-06-15,Ford,"Tourneo Custom and Transit Custom","26C22 - Transit Custom and Tourneo Custom - Driver Status Monitoring Camera Control Module Replacement",14,0,https://carsmultiverse.com/uk-recall/r-2026-242/
R/2026/240,2026-06-15,Dacia,Bigster,"Rear Suspension Springs",169,0,https://carsmultiverse.com/uk-recall/r-2026-240/
R/2026/237,2026-06-15,Ford,"Kuga, Focus, Tourneo Connect and 2 more","Transit Courier: Diesel DV-Neo Engine Coolant Pump Update",81,0,https://carsmultiverse.com/uk-recall/r-2026-237/
R/2026/159,2026-06-15,Hyundai,"Ioniq AE EV","Some vehicles fitted with a high voltage battery may have internal cell voltage deviation",8299,0,https://carsmultiverse.com/uk-recall/r-2026-159/
