uk_reference,uk_launched,make,models,manufacturer_code,us_campaign,us_filed,days_uk_to_us,canada_recall,canada_date,eu_alerts,page
R/2024/428,2024-09-24,Bmw,"3 Series Saloon, 2 Series Coupe and M2",0072660200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-428/
R/2024/364,2024-09-20,Bmw,"X3 and X3M",0051960500,,,,,,2,https://carsmultiverse.com/uk-recall/r-2024-364/
R/2024/356,2024-09-18,"Aston Martin","DBX707, DB12 and Vantage",RA031973,24V712,2024-09-24,6,2024575,2024-10-01,1,https://carsmultiverse.com/uk-recall/r-2024-356/
R/2024/341,2024-09-16,Hyundai,"Santa FE",41D130,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-341/
R/2024/351,2024-09-13,Ford,"Transit Custom",24C24,24V597,2024-08-09,-35,2024463,2024-08-12,0,https://carsmultiverse.com/uk-recall/r-2024-351/
R/2024/352,2024-09-13,"Polestar Automotive",PS2,RP1027,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-352/
R/2024/335,2024-09-13,Rolls-Royce,Spectre,0034830200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-335/
R/2024/346,2024-09-10,Ford,Transit,24S57,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-346/
R/2024/337,2024-09-04,Mini,"Minie and Minie Convertible",0061750800,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-337/
R/2024/336,2024-09-03,"Bmw Motorrad",R1300GS,0000770300,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-336/
R/2024/339,2024-09-02,"Renault Trucks",Master,C0392,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-339/
R/2024/280,2024-08-29,Ford,"Transit Connect",24S29,24V294,2024-04-26,-125,2024247,2024-04-26,1,https://carsmultiverse.com/uk-recall/r-2024-280/
R/2024/424,2024-08-28,Polaris,"Ranger XP 1000",R2403,,,,2024458,2024-08-12,0,https://carsmultiverse.com/uk-recall/r-2024-424/
R/2024/329,2024-08-28,Polaris,"Sportsman XP1000S",A2404,,,,2024400,2024-07-09,1,https://carsmultiverse.com/uk-recall/r-2024-329/
R/2024/317,2024-08-23,Kia,Picanto,241099,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-317/
R/2024/281,2024-08-19,Mercedes-Benz,C-Class,5497603,,,,2024341,2024-06-14,1,https://carsmultiverse.com/uk-recall/r-2024-281/
R/2024/303,2024-08-19,"Man Truck And Bus","TGX, TGS, TGL and 1 more",8505TR,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-303/
R/2024/353,2024-08-16,"Indian Motorcycle Company","Roadmaster, Pursuit, Challenger and 1 more",I2407,24V550,2024-07-23,-24,2024420,2024-07-23,1,https://carsmultiverse.com/uk-recall/r-2024-353/
R/2024/299,2024-08-15,Mercedes-Benz,C-Class,5491114,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-299/
R/2024/301,2024-08-14,"Mercedes-Benz Vans","Sprinter 907",3594805,,,,2024395,2024-07-05,1,https://carsmultiverse.com/uk-recall/r-2024-301/
R/2024/319,2024-08-14,Bmw,X5,0012230600,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-319/
R/2024/311,2024-08-12,Polaris,"RZR XP 1000",Z2401,,,,2024454,2024-08-08,1,https://carsmultiverse.com/uk-recall/r-2024-311/
R/2024/282,2024-08-06,"Bmw Motorrad",R1300GS,0000770600,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-282/
R/2024/308,2024-08-05,Lamborghini,Revuelto,L74XR0124,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-308/
R/2024/296,2024-08-02,Mazda,CX-60,AR043A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-296/
R/2024/300,2024-08-01,Bmw,X1,0052220200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-300/
R/2024/268,2024-07-16,Mercedes-Benz,CLS,5497604,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-268/
R/2024/277,2024-07-08,Bmw,"X2 and X1",0052200200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-277/
R/2024/269,2024-07-01,Bmw,X5,0099620200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-269/
R/2024/260,2024-06-28,Ford,"Kuga Phev",24S33,25V881,2025-12-18,538,2024270,2024-05-10,0,https://carsmultiverse.com/uk-recall/r-2024-260/
R/2024/275,2024-06-26,"Koenigsegg Automotive Ab",Jesko,REC24251,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-275/
R/2024/257,2024-06-26,Mercedes-Benz,"EQE, EQE SUV, EQS and 1 more",5496226,,,,2024296,2024-05-24,0,https://carsmultiverse.com/uk-recall/r-2024-257/
R/2024/258,2024-06-19,Bmw,I4,00413002000041320200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-258/
R/2024/247,2024-06-17,Alpina,XB7,0034670200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-247/
R/2024/248,2024-06-14,Mini,"Mini Countryman",0051900500,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-248/
R/2024/240,2024-06-06,Polaris,"Ranger EV",R2401,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-240/
R/2024/239,2024-06-05,Ford,"Transit Courier",24S18,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-239/
R/2024/222,2024-05-30,"Mercedes-Benz Vans","Sprinter 907 and Sprinter 910",3190102,,,,2024233,2024-04-19,0,https://carsmultiverse.com/uk-recall/r-2024-222/
R/2024/172,2024-05-20,Hyundai,"Kona SX2",41D037,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-172/
R/2024/197,2024-05-20,Kia,EV6,241041,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-197/
R/2024/171,2024-05-20,Hyundai,I20,41DT05,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-171/
R/2024/205,2024-05-10,"Volvo Car",EX30,R10273,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-205/
R/2024/228,2024-05-06,"Renault Trucks",Master,C0368,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-228/
R/2024/166,2024-05-06,Mercedes-Benz,"CLA, A Class, EQA and 4 more",5499117,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-166/
R/2024/164,2024-05-06,Hyundai,"Ioniq 5 and Ioniq 6",41D033,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-164/
R/2024/200,2024-05-01,Ford,Transit,24S30,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-200/
R/2024/154,2024-04-29,Hyundai,"Kona SX2 1.0 T GDI and Kona SX2 1.6 T GDI",41D009,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-154/
R/2024/173,2024-04-23,Mercedes-Benz,"GLE and GLS",9190101,,,,2024171,2024-03-15,1,https://carsmultiverse.com/uk-recall/r-2024-173/
R/2024/048,2024-04-19,Ford,Ranger,23S67,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-048/
R/2024/180,2024-04-17,"Bmw Motorrad","R1200RT, K1600GTL and K1600B",0000334700,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-180/
R/2024/168,2024-04-15,Ford,"Tourneo Courier",24S08,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-168/
R/2024/125,2024-04-11,Mercedes-Benz,C-Class,3590011,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-125/
R/2024/029,2024-04-11,"Mercedes-Benz & Fuso Trucks","Fuso Canter",RC2301,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-029/
R/2024/161,2024-04-08,"Aston Martin","model not stated",RA631832,24V255,2024-04-05,-3,2024219,2024-04-11,1,https://carsmultiverse.com/uk-recall/r-2024-161/
R/2024/162,2024-04-08,"Aston Martin",DBX707,RA031926,24V249,2024-04-03,-5,2024218,2024-04-11,1,https://carsmultiverse.com/uk-recall/r-2024-162/
R/2024/157,2024-04-04,Bmw,XM,0051820500,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-157/
R/2024/141,2024-03-26,Ford,Kuga,24S16,24V187,2024-03-08,-18,2024160,2024-03-11,1,https://carsmultiverse.com/uk-recall/r-2024-141/
R/2024/036,2024-03-18,Hyundai,"Tucson NX4E",31DC11,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-036/
R/2024/127,2024-03-18,"Triumph Motorcycles","Speed Triple RS and Speed Triple RR",SRAN620,,,,2024150,2024-03-06,1,https://carsmultiverse.com/uk-recall/r-2024-127/
R/2024/129,2024-03-14,Ford,"Transit Courier and Tourneo Courier",24S14,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-129/
R/2023/316,2024-03-11,Ford,Explorer,23S55,23V675,2023-10-06,-157,2023543,2023-10-06,0,https://carsmultiverse.com/uk-recall/r-2023-316/
R/2024/044,2024-03-11,Ineos,Grenadier,23212,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-044/
R/2024/123,2024-03-08,Yamaha,"MT-07 (MTN690) Accessory KIT",ACY2401E0,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-123/
R/2024/104,2024-03-07,Polaris,"Ranger XP Kinetic",R2304,,,,2023541,2023-10-05,0,https://carsmultiverse.com/uk-recall/r-2024-104/
R/2024/106,2024-03-07,Polaris,RZR,Z2205,,,,2022519,2022-09-15,0,https://carsmultiverse.com/uk-recall/r-2024-106/
R/2024/122,2024-03-01,"Daimler Buses Gmbh","Tourismo Rhd-L and Tourismo RHD",6500T23270B,,,,,,2,https://carsmultiverse.com/uk-recall/r-2024-122/
R/2024/211,2024-02-29,Bmw,"I4 and I5",0061360800,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-211/
R/2024/109,2024-02-28,Bmw,"5 Series Saloon",0052170200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-109/
R/2024/103,2024-02-27,"Triumph Motorcycles","Trident 660 and Tiger Sport 660",SRAN617,,,,2024092,2024-02-14,1,https://carsmultiverse.com/uk-recall/r-2024-103/
R/2023/175,2024-02-26,Ford,"S-Max/galaxy and Kuga",23S27,23V380,2023-05-26,-276,2023309,2023-05-29,1,https://carsmultiverse.com/uk-recall/r-2023-175/
R/2023/341,2024-02-19,Ford,Kuga,23S57,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-341/
R/2024/030,2024-02-16,Kia,"Soul PS EV",231127,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-030/
R/2024/010,2024-02-16,Kia,"Soul PS EV",231118,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-010/
R/2024/037,2024-02-14,"Nissan (Gb)",NV400,PN3C4,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-037/
R/2024/011,2024-02-12,Ford,"Transit Custom Phev, Explorer, Transit Custom and 1 more",23S53,23V626,2023-08-09,-187,2023507,2023-09-12,1,https://carsmultiverse.com/uk-recall/r-2024-011/
R/2024/024,2024-02-07,Mercedes-Benz,"GLA, GLC, S-Class and 3 more",7790004,,,,2023673,2023-12-15,0,https://carsmultiverse.com/uk-recall/r-2024-024/
RSPV/2024/002,2024-02-05,"Bradshaw Electric","G2, G4 and G6",AP000600,,,,,,1,https://carsmultiverse.com/uk-recall/rspv-2024-002/
R/2024/033,2024-02-05,Ford,Ranger,23S42,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-033/
R/2024/015,2024-01-30,Mercedes-Benz,"EQE 350+",5495504,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-015/
R/2024/013,2024-01-30,Mercedes-Benz,GLC,0790015,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-013/
R/2024/020,2024-01-22,Mazda,CX-60,AR001A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-020/
R/2024/045,2024-01-19,"Renault Trucks",Trafic,C0340,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-045/
R/2024/012,2024-01-15,"Volvo Car",XC40,R10256,24V010,2024-01-10,-5,2024005,2024-01-10,1,https://carsmultiverse.com/uk-recall/r-2024-012/
R/2023/361,2024-01-11,Mercedes-Benz,"GLE 400 D 4MATIC and GLE 350 D 4MATIC",5191001,,,,2023651,2023-12-08,1,https://carsmultiverse.com/uk-recall/r-2023-361/
R/2024/002,2024-01-05,Bmw,330E,0011590700,,,,,,1,https://carsmultiverse.com/uk-recall/r-2024-002/
R/2023/346,2024-01-02,Mercedes-Benz,GLE,5496340,,,,2023635,2023-11-27,1,https://carsmultiverse.com/uk-recall/r-2023-346/
R/2023/354,2023-12-20,Bmw,"M3, 3 Series Touring, X5M and 6 more",0024730100,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-354/
R/2023/355,2023-12-20,Bmw,"X3 and X4",0032480300,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-355/
R/2023/350,2023-12-15,Tesla,"Model X",SB2320004,23V488,2023-07-14,-154,2023393,2023-07-14,1,https://carsmultiverse.com/uk-recall/r-2023-350/
R/2023/328,2023-12-15,Mercedes-Benz,"GLC and EQE",6790007,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-328/
R/2023/351,2023-12-15,Tesla,"Model X",SB2300005,23V679,2023-10-11,-65,2023546,2023-10-11,1,https://carsmultiverse.com/uk-recall/r-2023-351/
R/2024/105,2023-12-14,Polaris,RZR200,Z2306,,,,2023510,2023-09-12,0,https://carsmultiverse.com/uk-recall/r-2024-105/
R/2023/336,2023-12-13,Ford,Transit,23S48,25V273,2025-05-14,518,2023477,2023-08-28,0,https://carsmultiverse.com/uk-recall/r-2023-336/
RM/2024/003,2023-12-11,"Indian Motorcycle Company","Chieftain, Roadmaster and Springfield",I2307,23V829,2023-12-07,-4,2023650,2023-12-07,0,https://carsmultiverse.com/uk-recall/rm-2024-003/
R/2023/345,2023-12-08,"Volvo Car",XC90,R10259,23V827,2023-12-07,-1,2023649,2023-12-07,1,https://carsmultiverse.com/uk-recall/r-2023-345/
R/2023/342,2023-12-07,Ford,Mustang,23C35,23V727,2023-10-27,-41,2023587,2023-10-31,0,https://carsmultiverse.com/uk-recall/r-2023-342/
R/2023/307,2023-12-04,Mercedes-Benz,SL,1595002,,,,2023542,2023-10-06,1,https://carsmultiverse.com/uk-recall/r-2023-307/
R/2023/340,2023-11-27,"Volvo Car",S60,R10254,23V780,2023-11-21,-6,2023620,2023-11-21,1,https://carsmultiverse.com/uk-recall/r-2023-340/
R/2023/298,2023-11-20,"Toyota (Gb)","C-HR, Corolla and Auris",23SD108,,,,,,2,https://carsmultiverse.com/uk-recall/r-2023-298/
R/2023/299,2023-11-20,Lexus,RX300,23SD108,,,,,,2,https://carsmultiverse.com/uk-recall/r-2023-299/
R/2023/266,2023-11-13,Kia,Optima,230047,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-266/
R/2023/320,2023-11-10,Ford,Ranger,23S58,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-320/
R/2023/291,2023-11-10,Mercedes-Benz,GLC,6290004,,,,2023503,2023-09-08,1,https://carsmultiverse.com/uk-recall/r-2023-291/
RM/2023/032,2023-11-09,"Triumph Motorcycles","Rocket 3 GT Triple Black Edition, Rocket 3 R, Rocket 3 GT and 2 more",SRAN611,,,,2023586,2023-10-31,1,https://carsmultiverse.com/uk-recall/rm-2023-032/
RM/2024/005,2023-11-08,Cfmoto,"450 SR",CF2024001R,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2024-005/
R/2023/312,2023-11-06,Mazda,"CX-30 and MAZDA3",AP059A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-312/
RSPV/2023/011,2023-11-06,"Brp-Can Am","Traxter and Maverick Trail",20236,,,,,,2,https://carsmultiverse.com/uk-recall/rspv-2023-011/
R/2023/310,2023-11-06,Mazda,CX-60,AP047A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-310/
R/2023/311,2023-11-06,Mazda,CX-60,AP049A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-311/
R/2023/225,2023-11-03,Mercedes-Benz,C-Class,5491316,,,,2023366,2023-06-30,0,https://carsmultiverse.com/uk-recall/r-2023-225/
R/2023/281,2023-10-16,"Nissan (Gb)",Ariya,R23C7,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-281/
R/2023/275,2023-10-06,Rolls-Royce,"Ghost Black Badges, Ghost and Ghost Extended",0051700500,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-275/
R/2023/260,2023-10-02,Mercedes-Benz,C-Class,4790104,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-260/
R/2023/255,2023-09-29,Kia,"Ceed, Stonic, Sportage and 1 more",220S15,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-255/
R/2023/269,2023-09-18,Kia,"Sorento MQ4",231070,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-269/
RM/2023/033,2023-09-15,Ducati,Xdiavel,CR262,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2023-033/
R/2023/257,2023-09-09,"Daimler Truck","Fuso Canter",RC2303,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-257/
R/2023/263,2023-09-04,"Volvo Car","V60, S60 and XC40",R10248,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-263/
RM/2023/023,2023-08-29,"Triumph Motorcycles","Tiger Sport and Trident",SRAN609,,,,2023461,2023-08-16,1,https://carsmultiverse.com/uk-recall/rm-2023-023/
R/2023/223,2023-08-29,Mercedes-Benz,"E-Class, S-Class, C-Class and 6 more",4790205,23V444,2023-06-26,-64,2023672,2023-12-15,0,https://carsmultiverse.com/uk-recall/r-2023-223/
R/2023/249,2023-08-25,Mercedes-Benz,"E-Class and AMG GT",5496333,,,,2023448,2023-08-11,1,https://carsmultiverse.com/uk-recall/r-2023-249/
R/2023/245,2023-08-25,Mercedes-Benz,S-Class,5491111,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-245/
R/2023/247,2023-08-24,Ford,Ranger,23S43,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-247/
R/2023/195,2023-08-21,Genesis,"GV70, GV60, GV70EV and 2 more",31D015,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-195/
R/2023/253,2023-08-21,Bmw,IX1,0061990700,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-253/
R/2023/184,2023-08-07,Hyundai,"Tucson NX4E",31DC07,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-184/
R/2023/233,2023-07-31,Bmw,X3,0012050600,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-233/
R/2023/234,2023-07-31,Bmw,X3,0061810700,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-234/
R/2023/215,2023-07-28,"Nissan (Gb)",Leaf,R23A6,23V494,2023-07-17,-11,2023397,2023-07-18,1,https://carsmultiverse.com/uk-recall/r-2023-215/
R/2023/143,2023-07-27,Mercedes-Benz,GLC,4092216,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-143/
R/2023/204,2023-07-21,Ford,Focus,23S34,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-204/
R/2023/216,2023-07-21,Lamborghini,Huracan,L624R0223,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-216/
R/2023/210,2023-07-19,Mercedes-Benz,EQS,9290014,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-210/
R/2023/190,2023-07-17,Mercedes-Benz,"A Class",4092218,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-190/
R/2023/193,2023-07-14,Mercedes-Benz,"EQE and EQS",5496213,,,,2023320,2023-06-02,0,https://carsmultiverse.com/uk-recall/r-2023-193/
R/2023/173,2023-07-14,Mercedes-Benz,"S-Class and EQS",4290303,,,,2023290,2023-05-17,0,https://carsmultiverse.com/uk-recall/r-2023-173/
R/2023/203,2023-07-11,"Polestar Automotive","Polestar 2",R10245,23V476,2023-07-12,1,2023381,2023-07-12,1,https://carsmultiverse.com/uk-recall/r-2023-203/
R/2023/185,2023-07-10,Mercedes-Benz,"A Class and GLB",3390020,,,,2021772,2021-12-17,0,https://carsmultiverse.com/uk-recall/r-2023-185/
R/2023/157,2023-07-10,Hyundai,"I30PDE and Tucson TLE",21DC03,,,,,,2,https://carsmultiverse.com/uk-recall/r-2023-157/
R/2023/171,2023-07-10,Mercedes-Benz,"G Class",3594019,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-171/
R/2023/095,2023-06-30,"Nissan (Gb)",Micra,R22D6,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-095/
R/2023/189,2023-06-28,Ford,Fiesta,23S29,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-189/
R/2023/186,2023-06-21,Ford,Focus,23S31,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-186/
RSPV/2023/007,2023-06-19,Kubota,"M7-173, M7-172, M7-132 and 3 more",SFIA23039,,,,,,1,https://carsmultiverse.com/uk-recall/rspv-2023-007/
RM/2023/017,2023-06-05,Ducati,"Panigale V2",CR251,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2023-017/
R/2023/161,2023-05-31,"Volvo Trucks","PCE4, FHE 4, FME 4 and 1 more",C0298,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-161/
R/2023/156,2023-05-25,"Polestar Automotive","Polestar 1",R10216,,,,2023295,2023-05-23,0,https://carsmultiverse.com/uk-recall/r-2023-156/
R/2023/153,2023-05-24,"Renault Trucks","C, T, T High and 1 more",C0253,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-153/
R/2023/081,2023-05-23,"Renault Trucks","T, T High, K and 1 more",C0280,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-081/
R/2023/126,2023-05-22,Hyundai,"Santa FE TM",21D181,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-126/
R/2023/121,2023-05-05,Kia,"Soul EV and E-Niro",231008,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-121/
R/2023/120,2023-04-28,Mercedes-Benz,S-Class,6290102,,,,2023169,2023-03-24,0,https://carsmultiverse.com/uk-recall/r-2023-120/
R/2023/091,2023-04-26,Mercedes-Benz,GLE/GLS(167),8392005,,,,2023150,2023-03-17,0,https://carsmultiverse.com/uk-recall/r-2023-091/
R/2023/069,2023-04-24,Hyundai,"Santa FE TM PE, Santa FE TM Phev and Santa FE TM HEV",21D147,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-069/
R/2023/077,2023-04-24,Kia,Sorento,230015,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-077/
R/2023/067,2023-04-24,Hyundai,"Kona OS and I40 VF",21D036,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-067/
R/2023/116,2023-04-20,Mercedes-Benz,CLA(118),4092214,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-116/
R/2023/096,2023-04-19,"Nissan (Gb)",Juke,PG3C1,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-096/
R/2023/113,2023-04-17,Bmw,"X3 M40D",0052100200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-113/
RM/2023/011,2023-04-15,Ducati,"Diavel V4",CR249,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2023-011/
R/2023/084,2023-04-12,"Nissan (Gb)","NV400 (X62)",PN2C7,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-084/
R/2023/068,2023-04-10,Hyundai,"Kona OS N and Santa FE TM",21D155,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-068/
R/2023/070,2023-04-06,Mercedes-Benz,"G Class",5491809,,,,2023076,2023-02-17,0,https://carsmultiverse.com/uk-recall/r-2023-070/
RM/2023/009,2023-04-02,"Bmw Motorrad","S1000XR and S1000R",0000348800,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2023-009/
RM/2023/013,2023-03-31,"Bmw Motorrad","S1000XR and S1000R",0000348800,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2023-013/
R/2023/085,2023-03-30,Ford,Ranger,23S14,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-085/
R/2023/080,2023-03-27,Ford,Kuga,22S73,22V859,2022-11-18,-129,2022658,2022-11-19,0,https://carsmultiverse.com/uk-recall/r-2023-080/
R/2023/103,2023-03-27,Mazda,CX-60,AP012A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-103/
R/2022/196,2023-03-22,Ford,Ranger,22S46,,,,,,1,https://carsmultiverse.com/uk-recall/r-2022-196/
R/2023/074,2023-03-17,"Volvo Trucks","FH, FME, FHE and 1 more",C0289,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-074/
RM/2023/022,2023-03-17,Yamaha,MWD300,MC220,,,,,,2,https://carsmultiverse.com/uk-recall/rm-2023-022/
RM/2023/008,2023-03-15,"Triumph Motorcycles","Bonneville T120 Black and Bonneville T120",SRAN606,,,,2023113,2023-03-06,1,https://carsmultiverse.com/uk-recall/rm-2023-008/
R/2022/343,2023-02-06,Kia,Sorento,221086,,,,,,1,https://carsmultiverse.com/uk-recall/r-2022-343/
R/2023/015,2023-02-03,Kia,"Sportage SLE",220S39,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-015/
RM/2023/002,2023-01-31,Triumph,"Speed Triple RS and Speed Triple RR",SRAN605,,,,2023006,2023-01-16,0,https://carsmultiverse.com/uk-recall/rm-2023-002/
R/2023/016,2023-01-24,Bmw,"4 Series Coupe, 2 Series Active Tourer, 3 Series GT and 26 more",00323903000032420300,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-016/
R/2023/025,2023-01-24,"Volvo Car","XC90, V90, V60 and 7 more",R10217,23V012,2023-01-19,-5,2023010,2023-01-19,1,https://carsmultiverse.com/uk-recall/r-2023-025/
R/2022/326,2023-01-23,"Toyota (Gb)",RAV4,22SMD109,,,,,,1,https://carsmultiverse.com/uk-recall/r-2022-326/
RM/2023/004,2023-01-23,"Bmw Motorrad","R 1250 GS, R 1250 GSA, R 1250 RT and 1 more",0000232600,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2023-004/
R/2022/339,2023-01-13,Lamborghini,Countach,L734R0122,,,,,,1,https://carsmultiverse.com/uk-recall/r-2022-339/
RM/2023/003,2023-01-12,"Bmw Motorrad","S1000 and M1000",0000112800,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2023-003/
R/2022/363,2023-01-09,Kia,Sorento,221135,,,,,,1,https://carsmultiverse.com/uk-recall/r-2022-363/
R/2023/002,2023-01-09,"Renault Trucks","T High, T and C",C0279,,,,,,1,https://carsmultiverse.com/uk-recall/r-2023-002/
R/2022/358,2022-12-19,"Polestar Automotive","Polestar 1",R10202,22V926,2022-12-14,-5,2022716,2022-12-15,1,https://carsmultiverse.com/uk-recall/r-2022-358/
RM/2022/036,2022-12-13,Kawasaki,"ZX1002, ZX1000 and ZR1000",DAK73,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2022-036/
RSPV/2022/021,2022-12-13,Polaris,"Ranger XP 1000, Crew 1000, Ranger XP 1000 Crew and 1 more",R2203,,,,,,1,https://carsmultiverse.com/uk-recall/rspv-2022-021/
R/2022/325,2022-11-30,Ford,Kuga,22S58,,,,,,1,https://carsmultiverse.com/uk-recall/r-2022-325/
R/2022/328,2022-11-30,Kia,Sorento,221103,,,,,,1,https://carsmultiverse.com/uk-recall/r-2022-328/
RSPV/2022/019,2022-11-29,Polaris,"Sportsman 570 and Sportsman 450",A2204,,,,2022646,2022-11-10,1,https://carsmultiverse.com/uk-recall/rspv-2022-019/
RM/2022/033,2022-11-28,"Bmw Motorrad","K1600 GT, K1600GTL and K1600B",0000232500,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2022-033/
